Entity,Code,Year,Patent application rates (OWID based on World Bank & UN)
Armenia,ARM,2006,64.898
Armenia,ARM,2007,46.027
Armenia,ARM,2008,77.711
Armenia,ARM,2009,40.158
Armenia,ARM,2010,47.266
Armenia,ARM,2011,42.078
Armenia,ARM,2012,47.538
Armenia,ARM,2013,43.2
Armenia,ARM,2014,41.635
Armenia,ARM,2015,38.739
Aruba,ABW,2002,10.527
Australia,AUS,1995,98.716
Australia,AUS,1996,98.138
Australia,AUS,1997,95.048
Australia,AUS,1998,99.514
Australia,AUS,1999,98.172
Australia,AUS,2000,100.663
Australia,AUS,2001,112.656
Australia,AUS,2002,120.297
Australia,AUS,2003,121.536
Australia,AUS,2004,127.14
Australia,AUS,2005,125.277
Australia,AUS,2006,137.067
Australia,AUS,2007,130.5
Australia,AUS,2008,132.758
Australia,AUS,2009,114.975
Australia,AUS,2010,109.342
Australia,AUS,2011,106.67
Australia,AUS,2012,115.583
Australia,AUS,2013,132.411
Australia,AUS,2014,84.737
Australia,AUS,2015,96.304
Austria,AUT,1985,299.935
Austria,AUT,1986,291.95
Austria,AUT,1987,296.914
Austria,AUT,1988,291.616
Austria,AUT,1989,276.262
Austria,AUT,1990,263.746
Austria,AUT,1991,267.702
Austria,AUT,1992,270.001
Austria,AUT,1993,277.018
Austria,AUT,1994,250.626
Austria,AUT,1995,217.406
Austria,AUT,1996,239.854
Austria,AUT,1997,239.708
Austria,AUT,1998,245.337
Austria,AUT,1999,253.743
Austria,AUT,2000,244.771
Austria,AUT,2001,225.682
Austria,AUT,2002,239.051
Austria,AUT,2003,261.038
Austria,AUT,2004,275.087
Austria,AUT,2005,275.893
Austria,AUT,2006,274.652
Austria,AUT,2007,287.506
Austria,AUT,2008,276.152
Austria,AUT,2009,271.235
Austria,AUT,2010,289.834
Austria,AUT,2011,256.684
Austria,AUT,2012,267.853
Austria,AUT,2013,254.972
Austria,AUT,2014,244.92
Austria,AUT,2015,255.41
Azerbaijan,AZE,1995,28.757
Azerbaijan,AZE,1996,21.255
Azerbaijan,AZE,2001,25.027
Azerbaijan,AZE,2002,28.635
Azerbaijan,AZE,2003,29.876
Azerbaijan,AZE,2004,32.505
Azerbaijan,AZE,2005,33.485
Azerbaijan,AZE,2006,28.994
Azerbaijan,AZE,2007,33.445
Azerbaijan,AZE,2008,25.789
Azerbaijan,AZE,2009,29.506
Azerbaijan,AZE,2010,28.053
Azerbaijan,AZE,2011,21.04
Azerbaijan,AZE,2012,15.491
Azerbaijan,AZE,2013,16.566
Azerbaijan,AZE,2014,17.619
Azerbaijan,AZE,2015,19.069
Bahamas,BHS,1985,12.783
Bahamas,BHS,1986,4.182
Bahamas,BHS,1988,16.156
Bahamas,BHS,1990,7.802
Bahamas,BHS,1991,3.83
Bahamas,BHS,1992,7.515
Bahamas,BHS,2012,8.064
Bahamas,BHS,2013,2.651
Bahamas,BHS,2014,5.233
Bahrain,BHR,2011,0.782
Bahrain,BHR,2012,2.307
Bahrain,BHR,2013,2.281
Bahrain,BHR,2014,4.49
Bahrain,BHR,2015,5.832
Bangladesh,BGD,1985,0.429
Bangladesh,BGD,1986,0.167
Bangladesh,BGD,1987,0.234
Bangladesh,BGD,1988,0.238
Bangladesh,BGD,1989,0.309
Bangladesh,BGD,1990,0.301
Bangladesh,BGD,1991,0.331
Bangladesh,BGD,1992,0.647
Bangladesh,BGD,1993,0.317
Bangladesh,BGD,1994,0.336
Bangladesh,BGD,1995,0.59
Bangladesh,BGD,1996,0.181
Bangladesh,BGD,1997,0.371
Bangladesh,BGD,1998,0.253
Bangladesh,BGD,1999,0.38
Bangladesh,BGD,2000,0.532
Bangladesh,BGD,2001,0.44
Bangladesh,BGD,2002,0.315
Bangladesh,BGD,2003,0.417
Bangladesh,BGD,2004,0.34
Bangladesh,BGD,2005,0.349
Bangladesh,BGD,2006,0.151
Bangladesh,BGD,2007,0.197
Bangladesh,BGD,2008,0.403
Bangladesh,BGD,2009,0.366
Bangladesh,BGD,2010,0.434
Bangladesh,BGD,2011,0.24
Bangladesh,BGD,2012,0.43
Bangladesh,BGD,2013,0.381
Bangladesh,BGD,2014,0.276
Bangladesh,BGD,2015,0.254
Barbados,BRB,2003,7.346
Barbados,BRB,2007,10.864
Barbados,BRB,2008,3.606
Barbados,BRB,2013,10.619
Barbados,BRB,2014,3.529
Belarus,BLR,1993,80.867
Belarus,BLR,1994,66.784
Belarus,BLR,1995,61.212
Belarus,BLR,1996,68.701
Belarus,BLR,1997,74.33
Belarus,BLR,1998,90.376
Belarus,BLR,1999,99.035
Belarus,BLR,2000,99.603
Belarus,BLR,2001,93.669
Belarus,BLR,2002,90.72
Belarus,BLR,2003,110.445
Belarus,BLR,2004,109.454
Belarus,BLR,2005,120.655
Belarus,BLR,2006,123.687
Belarus,BLR,2007,146.952
Belarus,BLR,2008,158.481
Belarus,BLR,2009,184.395
Belarus,BLR,2010,185.342
Belarus,BLR,2011,182.093
Belarus,BLR,2012,177.611
Belarus,BLR,2013,157.3
Belarus,BLR,2014,68.816
Belarus,BLR,2015,57.22
Belgium,BEL,1985,78.208
Belgium,BEL,1986,80.512
Belgium,BEL,1987,55.52
Belgium,BEL,1988,64.232
Belgium,BEL,1989,68.527
Belgium,BEL,1990,64.51
Belgium,BEL,1991,62.472
Belgium,BEL,1992,67.197
Belgium,BEL,1993,80.222
Belgium,BEL,1994,73.55
Belgium,BEL,1995,72.212
Belgium,BEL,1996,76.403
Belgium,BEL,1997,77.79
Belgium,BEL,1998,67.627
Belgium,BEL,1999,57.791
Belgium,BEL,2000,56.286
Belgium,BEL,2001,55.509
Belgium,BEL,2002,58.164
Belgium,BEL,2003,50.019
Belgium,BEL,2004,49.323
Belgium,BEL,2005,49.339
Belgium,BEL,2006,46.454
Belgium,BEL,2007,42.727
Belgium,BEL,2008,53.688
Belgium,BEL,2009,61.965
Belgium,BEL,2010,56.904
Belgium,BEL,2011,57.568
Belgium,BEL,2012,67.845
Belgium,BEL,2013,63.937
Belgium,BEL,2014,79.311
Belgium,BEL,2015,84.175
Belize,BLZ,2006,3.439
Bhutan,BTN,2012,3.984
Bhutan,BTN,2013,3.922
Bolivia,BOL,1985,0.805
Bolivia,BOL,1993,3.574
Bolivia,BOL,1994,3.774
Bolivia,BOL,1995,2.247
Bolivia,BOL,2014,0.852
Bosnia and Herzegovina,BIH,1999,6.118
Bosnia and Herzegovina,BIH,2000,8.23
Bosnia and Herzegovina,BIH,2001,13.788
Bosnia and Herzegovina,BIH,2003,8.467
Bosnia and Herzegovina,BIH,2004,13.223
Bosnia and Herzegovina,BIH,2005,17.453
Bosnia and Herzegovina,BIH,2006,14.552
Bosnia and Herzegovina,BIH,2008,15.676
Bosnia and Herzegovina,BIH,2010,15.045
Bosnia and Herzegovina,BIH,2011,11.657
Bosnia and Herzegovina,BIH,2012,0.548
Bosnia and Herzegovina,BIH,2013,1.942
Bosnia and Herzegovina,BIH,2014,11.497
Botswana,BWA,2011,0.487
Botswana,BWA,2012,2.393
Botswana,BWA,2013,3.759
Botswana,BWA,2014,1.845
Brazil,BRA,1985,14.402
Brazil,BRA,1986,13.394
Brazil,BRA,1987,17.349
Brazil,BRA,1988,16.236
Brazil,BRA,1989,15.836
Brazil,BRA,1990,15.996
Brazil,BRA,1991,15.259
Brazil,BRA,1992,13.587
Brazil,BRA,1993,15.458
Brazil,BRA,1994,14.207
Brazil,BRA,1995,16.679
Brazil,BRA,1996,15.833
Brazil,BRA,1997,16.449
Brazil,BRA,1998,14.638
Brazil,BRA,1999,16.3
Brazil,BRA,2000,18.136
Brazil,BRA,2001,19.347
Brazil,BRA,2002,19.323
Brazil,BRA,2003,21.186
Brazil,BRA,2004,21.89
Brazil,BRA,2005,21.689
Brazil,BRA,2006,20.93
Brazil,BRA,2007,21.955
Brazil,BRA,2008,22.179
Brazil,BRA,2009,21.914
Brazil,BRA,2010,21.484
Brazil,BRA,2011,23.63
Brazil,BRA,2012,23.923
Brazil,BRA,2013,24.5
Brazil,BRA,2014,22.814
Brazil,BRA,2015,22.533
Brunei,BRN,2012,50.032
Brunei,BRN,2013,49.296
Brunei,BRN,2014,63.152
Bulgaria,BGR,1985,0.223
Bulgaria,BGR,1986,0.112
Bulgaria,BGR,1987,0.334
Bulgaria,BGR,1988,0.668
Bulgaria,BGR,1989,7.097
Bulgaria,BGR,1990,22.711
Bulgaria,BGR,1991,48.886
Bulgaria,BGR,1992,38.524
Bulgaria,BGR,1993,48.629
Bulgaria,BGR,1994,37.78
Bulgaria,BGR,1995,43.778
Bulgaria,BGR,1996,37.786
Bulgaria,BGR,1997,47.401
Bulgaria,BGR,1998,33.185
Bulgaria,BGR,1999,34.346
Bulgaria,BGR,2000,28.274
Bulgaria,BGR,2001,35.335
Bulgaria,BGR,2002,36.876
Bulgaria,BGR,2003,35.754
Bulgaria,BGR,2004,34.081
Bulgaria,BGR,2005,34.078
Bulgaria,BGR,2006,31.969
Bulgaria,BGR,2007,27.964
Bulgaria,BGR,2008,33.233
Bulgaria,BGR,2009,32.507
Bulgaria,BGR,2010,32.857
Bulgaria,BGR,2011,35.654
Bulgaria,BGR,2012,33.535
Bulgaria,BGR,2013,38.816
Bulgaria,BGR,2014,30.177
Bulgaria,BGR,2015,39.008
Burkina Faso,BFA,1998,0.182
Burkina Faso,BFA,1999,0.355
Burkina Faso,BFA,2000,0.172
Burkina Faso,BFA,2003,0.079
Burkina Faso,BFA,2004,0.153
Burkina Faso,BFA,2005,0.075
Burkina Faso,BFA,2010,0.128
Burundi,BDI,1989,0.189
Burundi,BDI,1996,0.166
Cambodia,KHM,2013,0.067
Cambodia,KHM,2014,0.131
Canada,CAN,1985,80.641
Canada,CAN,1986,82.468
Canada,CAN,1987,95.179
Canada,CAN,1988,103.067
Canada,CAN,1989,110.705
Canada,CAN,1990,91.72
Canada,CAN,1991,77.454
Canada,CAN,1992,98.424
Canada,CAN,1993,125.653
Canada,CAN,1994,85.189
Canada,CAN,1995,82.817
Canada,CAN,1996,87.052
Canada,CAN,1997,111.514
Canada,CAN,1998,125.926
Canada,CAN,1999,133.151
Canada,CAN,2000,136.075
Canada,CAN,2001,127.502
Canada,CAN,2002,126.236
Canada,CAN,2003,124.037
Canada,CAN,2004,163.494
Canada,CAN,2005,160.405
Canada,CAN,2006,169.54
Canada,CAN,2007,151.971
Canada,CAN,2008,152.23
Canada,CAN,2009,150.675
Canada,CAN,2010,133.803
Canada,CAN,2011,138.428
Canada,CAN,2012,135.509
Canada,CAN,2013,129.909
Canada,CAN,2014,118.105
Canada,CAN,2015,119.307
Caribbean small states,,2014,5.585
Central Europe and the Baltics,,1985,111.841
Central Europe and the Baltics,,1986,115.87
Central Europe and the Baltics,,1987,124.528
Central Europe and the Baltics,,1988,136.988
Central Europe and the Baltics,,1989,125.287
Central Europe and the Baltics,,1990,86.08
Central Europe and the Baltics,,1991,73.316
Central Europe and the Baltics,,1992,64.069
Central Europe and the Baltics,,1993,74.009
Central Europe and the Baltics,,1994,69.66
Central Europe and the Baltics,,1995,69.837
Central Europe and the Baltics,,1996,64.118
Central Europe and the Baltics,,1997,62.873
Central Europe and the Baltics,,1998,58.705
Central Europe and the Baltics,,1999,53.739
Central Europe and the Baltics,,2000,55.901
Central Europe and the Baltics,,2001,57.625
Central Europe and the Baltics,,2002,61.523
Central Europe and the Baltics,,2003,55.151
Central Europe and the Baltics,,2004,57.286
Central Europe and the Baltics,,2005,52.376
Central Europe and the Baltics,,2006,52.738
Central Europe and the Baltics,,2007,56.813
Central Europe and the Baltics,,2008,59.737
Central Europe and the Baltics,,2009,66.21
Central Europe and the Baltics,,2010,73.156
Central Europe and the Baltics,,2011,79.31
Central Europe and the Baltics,,2012,76.423
Central Europe and the Baltics,,2013,76.354
Central Europe and the Baltics,,2014,69.742
Central Europe and the Baltics,,2015,77.902
Chile,CHL,1985,10.016
Chile,CHL,1986,7.752
Chile,CHL,1987,8.575
Chile,CHL,1988,8.666
Chile,CHL,1989,10.364
Chile,CHL,1990,12.762
Chile,CHL,1991,11.221
Chile,CHL,1992,13.02
Chile,CHL,1993,11.165
Chile,CHL,1994,15.541
Chile,CHL,1995,11.961
Chile,CHL,1996,12.14
Chile,CHL,1997,10.956
Chile,CHL,1998,13.904
Chile,CHL,1999,13.531
Chile,CHL,2000,15.79
Chile,CHL,2001,15.928
Chile,CHL,2002,25.026
Chile,CHL,2003,20.823
Chile,CHL,2004,23.914
Chile,CHL,2005,22.357
Chile,CHL,2006,17.831
Chile,CHL,2007,24.437
Chile,CHL,2008,31.869
Chile,CHL,2009,20.381
Chile,CHL,2010,19.302
Chile,CHL,2011,19.763
Chile,CHL,2012,19.411
Chile,CHL,2013,19.47
Chile,CHL,2014,25.662
Chile,CHL,2015,24.94
China,CHN,1985,3.868
China,CHN,1986,3.275
China,CHN,1987,3.667
China,CHN,1988,4.339
China,CHN,1989,4.245
China,CHN,1990,5.137
China,CHN,1991,6.406
China,CHN,1992,8.603
China,CHN,1993,10.254
China,CHN,1994,9.39
China,CHN,1995,8.309
China,CHN,1996,9.55
China,CHN,1997,10.302
China,CHN,1998,11.072
China,CHN,1999,12.474
China,CHN,2000,20.074
China,CHN,2001,23.618
China,CHN,2002,31.089
China,CHN,2003,44.062
China,CHN,2004,50.758
China,CHN,2005,71.706
China,CHN,2006,93.3
China,CHN,2007,116.141
China,CHN,2008,146.89
China,CHN,2009,172.09
China,CHN,2010,219.081
China,CHN,2011,309.367
China,CHN,2012,396.324
China,CHN,2013,519.336
China,CHN,2014,587.226
China,CHN,2015,706.124
Colombia,COL,1985,2.322
Colombia,COL,1986,2.558
Colombia,COL,1987,1.609
Colombia,COL,1988,2.578
Colombia,COL,1989,2.677
Colombia,COL,1991,2.434
Colombia,COL,1992,3.375
Colombia,COL,1993,3.813
Colombia,COL,1994,3.367
Colombia,COL,1995,3.766
Colombia,COL,1996,2.287
Colombia,COL,1997,2.07
Colombia,COL,1998,4.104
Colombia,COL,1999,1.708
Colombia,COL,2000,1.856
Colombia,COL,2001,1.586
Colombia,COL,2002,1.299
Colombia,COL,2003,1.945
Colombia,COL,2004,1.779
Colombia,COL,2005,2.287
Colombia,COL,2006,3.239
Colombia,COL,2007,2.885
Colombia,COL,2008,2.806
Colombia,COL,2009,2.818
Colombia,COL,2010,2.896
Colombia,COL,2011,3.943
Colombia,COL,2012,4.543
Colombia,COL,2013,5.302
Colombia,COL,2014,5.44
Colombia,COL,2015,6.656
Congo,COG,1986,2.285
Congo,COG,1988,8.22
Costa Rica,CRI,1986,6.783
Costa Rica,CRI,1987,4.178
Costa Rica,CRI,1988,3.396
Costa Rica,CRI,1989,4.637
Costa Rica,CRI,1990,8.075
Costa Rica,CRI,1993,8.68
Costa Rica,CRI,2010,1.76
Costa Rica,CRI,2011,3.043
Costa Rica,CRI,2012,2.149
Costa Rica,CRI,2013,4.462
Costa Rica,CRI,2014,3.363
Costa Rica,CRI,2015,3.536
Cote d'Ivoire,CIV,2012,1.214
Croatia,HRV,1992,107.159
Croatia,HRV,1993,108.405
Croatia,HRV,1994,59.57
Croatia,HRV,1995,56.757
Croatia,HRV,1996,57.632
Croatia,HRV,1997,59.711
Croatia,HRV,1998,59.32
Croatia,HRV,1999,54.018
Croatia,HRV,2000,76.141
Croatia,HRV,2001,81.532
Croatia,HRV,2002,73.874
Croatia,HRV,2003,87.162
Croatia,HRV,2004,86.731
Croatia,HRV,2005,81.72
Croatia,HRV,2006,71.396
Croatia,HRV,2007,77.547
Croatia,HRV,2008,74.416
Croatia,HRV,2009,56.445
Croatia,HRV,2010,58.174
Croatia,HRV,2011,53.731
Croatia,HRV,2012,50.849
Croatia,HRV,2013,54.045
Croatia,HRV,2014,40.11
Croatia,HRV,2015,40.204
Cuba,CUB,1992,0.093
Cuba,CUB,1993,0.093
Cuba,CUB,1994,11.151
Cuba,CUB,1995,9.536
Cuba,CUB,1996,7.572
Cuba,CUB,1997,9.897
Cuba,CUB,1999,9.901
Cuba,CUB,2005,9.305
Cuba,CUB,2006,8.321
Cuba,CUB,2007,6.547
Cuba,CUB,2008,6.101
Cuba,CUB,2009,5.213
Cuba,CUB,2011,5.46
Cuba,CUB,2012,3.339
Cuba,CUB,2013,2.366
Cuba,CUB,2014,2.098
Cyprus,CYP,2003,12.078
Cyprus,CYP,2004,8.907
Cyprus,CYP,2005,19.462
Cyprus,CYP,2007,2.82
Cyprus,CYP,2008,10.17
Cyprus,CYP,2009,5.464
Cyprus,CYP,2010,3.595
Cyprus,CYP,2012,3.524
Cyprus,CYP,2013,1.748
Cyprus,CYP,2014,3.471
Cyprus,CYP,2015,5.168
Czechia,CZE,1993,86.448
Czechia,CZE,1994,73.159
Czechia,CZE,1995,60.616
Czechia,CZE,1996,59.524
Czechia,CZE,1997,56.191
Czechia,CZE,1998,60.616
Czechia,CZE,1999,57.955
Czechia,CZE,2000,54.12
Czechia,CZE,2001,55.596
Czechia,CZE,2002,51.584
Czechia,CZE,2003,61.311
Czechia,CZE,2004,61.096
Czechia,CZE,2005,57.388
Czechia,CZE,2006,62.604
Czechia,CZE,2007,69.522
Czechia,CZE,2008,68.563
Czechia,CZE,2009,75.546
Czechia,CZE,2010,82.869
Czechia,CZE,2011,74.599
Czechia,CZE,2012,82.487
Czechia,CZE,2013,93.587
Czechia,CZE,2014,86.458
Czechia,CZE,2015,83.443
Denmark,DNK,1985,167.394
Denmark,DNK,1986,187.09
Denmark,DNK,1987,196.41
Denmark,DNK,1988,233.355
Denmark,DNK,1989,218.213
Denmark,DNK,1990,236.922
Denmark,DNK,1991,205.848
Denmark,DNK,1992,232.82
Denmark,DNK,1993,223.373
Denmark,DNK,1994,244.709
Denmark,DNK,1995,235.794
Denmark,DNK,1996,248.714
Denmark,DNK,1997,249.575
Denmark,DNK,1998,290.901
Denmark,DNK,1999,311.173
Denmark,DNK,2000,323.993
Denmark,DNK,2001,327.873
Denmark,DNK,2002,337.616
Denmark,DNK,2003,328.722
Denmark,DNK,2004,347.302
Denmark,DNK,2005,305.936
Denmark,DNK,2006,276.425
Denmark,DNK,2007,303.949
Denmark,DNK,2008,297.436
Denmark,DNK,2009,274.846
Denmark,DNK,2010,293.095
Denmark,DNK,2011,282.556
Denmark,DNK,2012,251.45
Denmark,DNK,2013,238.827
Denmark,DNK,2014,243.999
Denmark,DNK,2015,257.237
Djibouti,DJI,2013,1.115
Dominican Republic,DOM,1986,2.113
Dominican Republic,DOM,2012,1.773
Dominican Republic,DOM,2013,1.07
Dominican Republic,DOM,2014,1.249
Dominican Republic,DOM,2015,1.995
Early-demographic dividend,,1985,4.163
Early-demographic dividend,,1986,4.365
Early-demographic dividend,,1987,4.539
Early-demographic dividend,,1988,4.267
Early-demographic dividend,,1989,4.536
Early-demographic dividend,,1990,3.04
Early-demographic dividend,,1991,3.036
Early-demographic dividend,,1992,2.859
Early-demographic dividend,,1993,3.936
Early-demographic dividend,,1994,3.412
Early-demographic dividend,,1995,3.283
Early-demographic dividend,,1996,3.434
Early-demographic dividend,,1997,3.043
Early-demographic dividend,,1998,3.386
Early-demographic dividend,,1999,3.49
Early-demographic dividend,,2000,3.749
Early-demographic dividend,,2001,3.613
Early-demographic dividend,,2002,3.79
Early-demographic dividend,,2003,4.233
Early-demographic dividend,,2004,4.776
Early-demographic dividend,,2005,5.874
Early-demographic dividend,,2006,6.583
Early-demographic dividend,,2007,8.897
Early-demographic dividend,,2008,10.493
Early-demographic dividend,,2009,9.487
Early-demographic dividend,,2010,10.056
Early-demographic dividend,,2011,10.287
Early-demographic dividend,,2012,10.073
Early-demographic dividend,,2013,10.834
Early-demographic dividend,,2014,12.147
Early-demographic dividend,,2015,8.055
East Asia & Pacific,,1985,167.936
East Asia & Pacific,,1986,174.732
East Asia & Pacific,,1987,184.867
East Asia & Pacific,,1988,181.527
East Asia & Pacific,,1989,184.276
East Asia & Pacific,,1990,191.866
East Asia & Pacific,,1991,193.821
East Asia & Pacific,,1992,195.264
East Asia & Pacific,,1993,194.016
East Asia & Pacific,,1994,188.453
East Asia & Pacific,,1995,209.888
East Asia & Pacific,,1996,215.759
East Asia & Pacific,,1997,218.654
East Asia & Pacific,,1998,212.608
East Asia & Pacific,,1999,214.342
East Asia & Pacific,,2000,238.42
East Asia & Pacific,,2001,238.695
East Asia & Pacific,,2002,234.569
East Asia & Pacific,,2003,244.14
East Asia & Pacific,,2004,258.524
East Asia & Pacific,,2005,280.265
East Asia & Pacific,,2006,284.057
East Asia & Pacific,,2007,291.569
East Asia & Pacific,,2008,303.045
East Asia & Pacific,,2009,304.824
East Asia & Pacific,,2010,331.669
East Asia & Pacific,,2011,386.22
East Asia & Pacific,,2012,441.447
East Asia & Pacific,,2013,509.637
East Asia & Pacific,,2014,547.394
East Asia & Pacific,,2015,615.004
East Asia & Pacific (IDA & IBRD),,1985,2.936
East Asia & Pacific (IDA & IBRD),,1986,2.501
East Asia & Pacific (IDA & IBRD),,1987,2.826
East Asia & Pacific (IDA & IBRD),,1988,3.29
East Asia & Pacific (IDA & IBRD),,1989,3.279
East Asia & Pacific (IDA & IBRD),,1990,3.92
East Asia & Pacific (IDA & IBRD),,1991,4.859
East Asia & Pacific (IDA & IBRD),,1992,6.449
East Asia & Pacific (IDA & IBRD),,1993,7.695
East Asia & Pacific (IDA & IBRD),,1994,7.135
East Asia & Pacific (IDA & IBRD),,1995,6.311
East Asia & Pacific (IDA & IBRD),,1996,7.242
East Asia & Pacific (IDA & IBRD),,1997,7.797
East Asia & Pacific (IDA & IBRD),,1998,8.469
East Asia & Pacific (IDA & IBRD),,1999,9.542
East Asia & Pacific (IDA & IBRD),,2000,14.778
East Asia & Pacific (IDA & IBRD),,2001,17.345
East Asia & Pacific (IDA & IBRD),,2002,22.657
East Asia & Pacific (IDA & IBRD),,2003,31.826
East Asia & Pacific (IDA & IBRD),,2004,36.537
East Asia & Pacific (IDA & IBRD),,2005,51.145
East Asia & Pacific (IDA & IBRD),,2006,66.178
East Asia & Pacific (IDA & IBRD),,2007,81.859
East Asia & Pacific (IDA & IBRD),,2008,103.067
East Asia & Pacific (IDA & IBRD),,2009,120.583
East Asia & Pacific (IDA & IBRD),,2010,152.884
East Asia & Pacific (IDA & IBRD),,2011,214.359
East Asia & Pacific (IDA & IBRD),,2012,273.353
East Asia & Pacific (IDA & IBRD),,2013,357.738
East Asia & Pacific (IDA & IBRD),,2014,403.21
East Asia & Pacific (IDA & IBRD),,2015,483.102
East Asia & Pacific (excluding high income),,1985,2.899
East Asia & Pacific (excluding high income),,1986,2.469
East Asia & Pacific (excluding high income),,1987,2.79
East Asia & Pacific (excluding high income),,1988,3.248
East Asia & Pacific (excluding high income),,1989,3.238
East Asia & Pacific (excluding high income),,1990,3.871
East Asia & Pacific (excluding high income),,1991,4.798
East Asia & Pacific (excluding high income),,1992,6.367
East Asia & Pacific (excluding high income),,1993,7.597
East Asia & Pacific (excluding high income),,1994,7.044
East Asia & Pacific (excluding high income),,1995,6.23
East Asia & Pacific (excluding high income),,1996,7.15
East Asia & Pacific (excluding high income),,1997,7.697
East Asia & Pacific (excluding high income),,1998,8.362
East Asia & Pacific (excluding high income),,1999,9.421
East Asia & Pacific (excluding high income),,2000,14.591
East Asia & Pacific (excluding high income),,2001,17.125
East Asia & Pacific (excluding high income),,2002,22.37
East Asia & Pacific (excluding high income),,2003,31.423
East Asia & Pacific (excluding high income),,2004,36.075
East Asia & Pacific (excluding high income),,2005,53.594
East Asia & Pacific (excluding high income),,2006,68.67
East Asia & Pacific (excluding high income),,2007,84.388
East Asia & Pacific (excluding high income),,2008,101.77
East Asia & Pacific (excluding high income),,2009,123.147
East Asia & Pacific (excluding high income),,2010,155.049
East Asia & Pacific (excluding high income),,2011,215.698
East Asia & Pacific (excluding high income),,2012,274.131
East Asia & Pacific (excluding high income),,2013,353.279
East Asia & Pacific (excluding high income),,2014,398.195
East Asia & Pacific (excluding high income),,2015,477.105
Ecuador,ECU,1986,2.912
Ecuador,ECU,1987,2.21
Ecuador,ECU,1988,2.464
Ecuador,ECU,1989,2.606
Ecuador,ECU,1991,1.243
Ecuador,ECU,1992,2.148
Ecuador,ECU,1993,1.918
Ecuador,ECU,1994,0.357
Ecuador,ECU,1995,0.699
Ecuador,ECU,1996,0.599
Ecuador,ECU,1997,0.671
Ecuador,ECU,1999,1.21
Ecuador,ECU,2000,0.792
Ecuador,ECU,2001,0.545
Ecuador,ECU,2002,0.994
Ecuador,ECU,2003,0.527
Ecuador,ECU,2004,1.036
Ecuador,ECU,2005,0.801
Ecuador,ECU,2006,0.573
Ecuador,ECU,2007,0.282
Ecuador,ECU,2008,0.138
Ecuador,ECU,2009,0.408
Ecuador,ECU,2010,0.268
Egypt,EGY,1985,3.346
Egypt,EGY,1986,2.752
Egypt,EGY,1987,3.204
Egypt,EGY,1988,3.483
Egypt,EGY,1989,3.321
Egypt,EGY,1990,4.842
Egypt,EGY,1991,5.242
Egypt,EGY,1992,5.014
Egypt,EGY,1993,5.353
Egypt,EGY,1994,4.928
Egypt,EGY,1995,6.404
Egypt,EGY,1996,7.762
Egypt,EGY,1998,7.332
